file_path,file_name,file_size,creation_time,modification_time,num_pages,pdf_author,pdf_title,pdf_creation_date,pdf_modification_date,image_width,image_height,dpi_x,dpi_y,exif_data,num_sheets,docx_author,docx_title,docx_page_count,audio_duration,audio_tags,audio_bitrate,audio_sample_rate,video_frame_count,video_fps,video_duration,video_width,video_height
D:\Users\snarski\AppData\Local\Programs\Python\Python311\hw1_prog\only_useful_files\03_distance.pdf,03_distance.pdf,2631545,2024-09-30 21:14:24,2024-09-22 20:33:49,76.0,,,2024-03-01 20:01:07,2024-03-01 20:01:07,,,,,,,,,,,,,,,,,,
D:\Users\snarski\AppData\Local\Programs\Python\Python311\hw1_prog\only_useful_files\04_distance.pdf,04_distance.pdf,1458496,2024-09-30 21:14:26,2024-09-22 20:33:00,34.0,,,2022-06-19 11:02:18,2022-06-19 11:02:18,,,,,,,,,,,,,,,,,,
D:\Users\snarski\AppData\Local\Programs\Python\Python311\hw1_prog\only_useful_files\06_ML-with-text.pdf,06_ML-with-text.pdf,2429916,2024-09-30 21:14:26,2024-09-22 20:33:09,92.0,,,2022-06-19 11:36:49,2022-06-19 11:36:49,,,,,,,,,,,,,,,,,,
D:\Users\snarski\AppData\Local\Programs\Python\Python311\hw1_prog\only_useful_files\373724eng.pdf,373724eng.pdf,867966,2024-09-30 21:14:26,2024-09-20 10:22:08,14.0,ROBIN Kevin,N/A,2020-03-06 14:12:31,2022-04-21 23:51:19,,,,,,,,,,,,,,,,,,
D:\Users\snarski\AppData\Local\Programs\Python\Python311\hw1_prog\only_useful_files\374447eng.pdf,374447eng.pdf,431825,2024-09-30 21:14:26,2024-09-20 12:40:15,16.0,Unknown Author,N/A,2020-10-02 13:24:11,2022-07-17 17:11:43,,,,,,,,,,,,,,,,,,
D:\Users\snarski\AppData\Local\Programs\Python\Python311\hw1_prog\only_useful_files\algosss.png,algosss.png,220243,2024-10-15 13:17:24,2024-10-09 19:50:15,,,,,,1383.0,755.0,119.9896,119.9896,{},,,,,,,,,,,,,
D:\Users\snarski\AppData\Local\Programs\Python\Python311\hw1_prog\only_useful_files\aritcle.png,aritcle.png,146724,2024-10-15 13:17:35,2024-09-27 17:51:47,,,,,,836.0,924.0,119.9896,119.9896,{},,,,,,,,,,,,,
D:\Users\snarski\AppData\Local\Programs\Python\Python311\hw1_prog\only_useful_files\gini2023.xlsx,gini2023.xlsx,25848,2024-09-30 17:49:00,2024-06-15 19:26:57,,,,,,,,,,,1.0,,,,,,,,,,,,
D:\Users\snarski\AppData\Local\Programs\Python\Python311\hw1_prog\only_useful_files\litra.docx,litra.docx,16010,2024-09-30 17:47:57,2024-09-30 22:38:01,,,,,,,,,,,,Ярослав Снарский,N/A,2.0,,,,,,,,,
D:\Users\snarski\AppData\Local\Programs\Python\Python311\hw1_prog\only_useful_files\mainBanner.png,mainBanner.png,14313,2024-09-30 17:48:23,2024-06-05 13:47:00,,,,,,600.0,200.0,,,{},,,,,,,,,,,,,
