file_path,file_name,file_size,creation_time,modification_time,extension,author,page_count,num_pages,pdf_author,pdf_title,pdf_creation_date,pdf_modification_date,video_frame_count,video_fps,video_duration,video_width,video_height,image_width,image_height,dpi_x,dpi_y,exif_data,num_sheets,audio_duration,audio_tags,audio_bitrate,audio_sample_rate,tags_TXXX:major_brand,tags_TXXX:minor_version,tags_TXXX:compatible_brands,tags_TSSE
D:/Archive/pandan_test_folders/test_doc_fodler\2022_assignment_data.xls,2022_assignment_data.xls,47616,2024-12-19 13:52:43,2022-10-13 14:35:59,xls,,,,,,,,,,,,,,,,,,,,,,,,,,
D:/Archive/pandan_test_folders/test_doc_fodler\Create machine learning models with R and tidymodels - Learn   Microsoft Docs.lnk,Create machine learning models with R and tidymodels - Learn   Microsoft Docs.lnk,3115,2024-12-19 13:52:43,2022-09-02 00:37:24,lnk,,,,,,,,,,,,,,,,,,,,,,,,,,
D:/Archive/pandan_test_folders/test_doc_fodler\Exam.docx,Exam.docx,0,2024-12-19 13:52:43,2023-12-14 22:48:07,docx,Unknown Author,,,,,,,,,,,,,,,,,,,,,,,,,
D:/Archive/pandan_test_folders/test_doc_fodler\Final Exam.docx,Final Exam.docx,361634,2024-12-19 13:52:43,2024-12-31 12:45:19,docx,Unknown Author,,,,,,,,,,,,,,,,,,,,,,,,,
D:/Archive/pandan_test_folders/test_doc_fodler\Final Exam.pdf,Final Exam.pdf,340996,2024-12-19 13:52:43,2022-10-25 19:23:05,pdf,,,2.0,Антипов Евгений Александрович,N/A,2022-10-25 19:23:05,2022-10-25 19:23:05,,,,,,,,,,,,,,,,,,,
D:/Archive/pandan_test_folders/test_doc_fodler\Grading.pptx,Grading.pptx,130167,2024-12-19 13:52:43,2023-09-08 16:48:15,pptx,,,,,,,,,,,,,,,,,,,,,,,,,,
D:/Archive/pandan_test_folders/test_doc_fodler\Links to Courses.txt,Links to Courses.txt,217,2024-12-19 13:52:43,2022-09-04 06:24:10,txt,,,,,,,,,,,,,,,,,,,,,,,,,,
"D:/Archive/pandan_test_folders/test_doc_fodler\Spider-Man 5000 - 1981 - S01E02 - Dr Doom, Master of the World.mkv","Spider-Man 5000 - 1981 - S01E02 - Dr Doom, Master of the World.mkv",244439866,2024-12-22 19:37:30,2024-10-14 16:58:08,mkv,,,,,,,,32683.0,25.0,1307.32,698.0,572.0,,,,,,,,,,,,,,
D:/Archive/pandan_test_folders/test_doc_fodler\video_2024-11-18_18-35-47.mp4,video_2024-11-18_18-35-47.mp4,91195120,2024-12-22 19:36:45,2024-11-18 18:35:56,mp4,,,,,,,,6261.0,29.540215037709395,211.94835555555557,720.0,1280.0,,,,,,,,,,,,,,
D:/Archive/pandan_test_folders/test_doc_fodler\panel_protests\.RData,.RData,1357128,2024-12-22 16:54:58,2024-06-15 15:42:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:/Archive/pandan_test_folders/test_doc_fodler\panel_protests\.Rhistory,.Rhistory,37715,2024-12-22 16:54:58,2024-06-15 15:41:58,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:/Archive/pandan_test_folders/test_doc_fodler\panel_protests\code_panel.Rmd,code_panel.Rmd,18611,2024-12-22 16:54:58,2024-04-20 18:48:08,Rmd,,,,,,,,,,,,,,,,,,,,,,,,,,
D:/Archive/pandan_test_folders/test_doc_fodler\panel_protests\eco_index.png,eco_index.png,673650,2024-12-22 16:54:58,2024-06-26 15:00:51,png,,,,,,,,,,,,,11200.0,5600.0,799.9984,799.9984,{},,,,,,,,,
D:/Archive/pandan_test_folders/test_doc_fodler\panel_protests\eco_pres.png,eco_pres.png,436313,2024-12-22 16:54:58,2024-10-16 09:39:53,png,,,,,,,,,,,,,7200.0,5600.0,799.9984,799.9984,{},,,,,,,,,
D:/Archive/pandan_test_folders/test_doc_fodler\panel_protests\eco_pres_bottom.png,eco_pres_bottom.png,586881,2024-12-22 16:54:58,2024-10-16 09:42:39,png,,,,,,,,,,,,,11200.0,5600.0,799.9984,799.9984,{},,,,,,,,,
D:/Archive/pandan_test_folders/test_doc_fodler\panel_protests\eco_pres_top.png,eco_pres_top.png,573991,2024-12-22 16:54:58,2024-10-16 09:42:29,png,,,,,,,,,,,,,11200.0,5600.0,799.9984,799.9984,{},,,,,,,,,
